,UOH OCA ,UOH Seasonality ,UOH Type 1 ,OCA Seasonality ,OCA Type 1 ,Seasonality Type 1 ,UOH OCA Seasonality ,UOH OCA Type 1 ,UOH Seasonality Type 1 ,OCA Seasonality Type 1 ,UOH OCA Seasonality Type 1 ,Total Features Weighted
A_oca,0.2744740869159416,,,0.10829178889356092,0.0,,0.22804079029803792,0.0,,0.0,0.0,0.0
C_oca,1.0,,,1.0,0.537631358334413,,1.0,0.8097127011327389,,0.7135134127057121,0.9266160084611346,0.9188688739844314
FullUOH2Lines,0.0,0.5985633818086782,0.0,,,,0.0,0.0,0.0,,0.0,0.0
FullUOH3Lines,0.0,0.5441972032355178,0.0,,,,0.0,0.0,0.0,,0.0,0.0
Lines,0.0,0.3041952390402028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LooseUOH1Lines,0.0,0.6447809384264259,0.0,,,,0.0,0.0,0.0,,0.0,0.0
M_oca,0.14624100621171024,,,0.202073976090938,0.0,,0.19413840354892986,0.0,,0.020481311103943963,0.0,0.06287363842627584
P_oca,0.035526461107353934,,,0.004883191118751223,0.0,,0.02733879840396314,0.0,,0.0,0.0,0.0
R_oca,0.47895707079373046,,,0.4335411160740443,0.09102001842378507,,0.5724973751500879,0.35845687663868897,,0.25759433867297415,0.5249777703394941,0.5442236379128672
UOH1perLine,0.0,0.6973581532196711,0.0,,,,0.0,0.0,0.0,,0.0,0.0
UOH2perLine,0.0007018859519998191,0.8362495482934811,0.0,,,,0.0025390464886912733,0.0,0.0,,0.0,0.0
UOH3perLine,0.07519141918802125,0.7246007620709585,0.0,,,,0.021800345387929763,0.0,0.0,,0.0,0.0
1,,0.4679329548252582,,0.00015129734241778187,,0.0,0.0,,0.0,0.0,0.0,0.0
2,,1.0,,0.003397996117397214,,0.0,0.007458634068875455,,0.0,0.0,0.0,0.0
3,,0.9118227719230705,,0.0003709300621628868,,0.0,0.0,,0.0,0.0,0.0,0.0
4,,0.5103433009305663,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0
A,,,0.924753550699106,,0.9862489349749274,0.9013466659897297,,0.9193739694055226,0.7168799529244629,0.9624085818428784,0.8386845278475561,0.8031434443547111
C,,,1.0,,0.9938954831715676,1.0,,1.0,1.0,1.0,1.0,1.0
M,,,0.35830090144011817,,0.31802032732172336,0.31822656913171576,,0.5775707993252317,0.2923260227339212,0.33599666515148335,0.32606998091495,0.5352899994179107
P,,,0.8950094599885183,,1.0,0.8315152014012068,,0.9055490845514526,0.6365766416557579,0.9911197114736623,0.8233472208092916,0.7541456501045632
R,,,0.5966912704951369,,0.4516089184217539,0.62463630049059,,0.6102666686226865,0.6609515796381618,0.5005916949778183,0.626301649746848,0.505331974776217
ShipDate,,,,,,,,,,,,0.0
EUC,,,,,,,,,,,,0.0
MIL,,,,,,,,,,,,0.36107743587049723
OLD,,,,,,,,,,,,0.024911048817832845
